shipment_id,period,period_idx,batch_id,plant_id,carrier_id,mode,customer_id,customer_region,qty_t,on_time_in_full,freight_cost,disruption_flag,cs_active
SHP-000020,2024-10,0,BAT-000190,PLT-03,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-01,EMEA,44.52,1,5790.76,0,0
SHP-000021,2025-01,3,BAT-000822,PLT-03,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-12,LATAM,42.62,0,3515.55,0,0
SHP-000022,2025-10,12,BAT-002645,PLT-04,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-11,EMEA,33.94,1,2256.1,0,0
SHP-000023,2024-11,1,BAT-000286,PLT-05,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-05,LATAM,35.43,1,3812.17,0,0
SHP-000024,2025-07,9,BAT-002015,PLT-06,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-09,AMER,30.33,0,4115.06,0,0
SHP-000025,2024-12,2,BAT-000556,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-06,AMER,41.01,1,5353.05,0,0
SHP-000026,2026-01,15,BAT-003364,PLT-06,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-11,EMEA,48.73,1,2882.83,0,0
SHP-000027,2026-07,21,BAT-004808,PLT-05,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-02,AMER,37.65,1,3925.61,0,1
SHP-000028,2026-09,23,BAT-005230,PLT-05,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-12,LATAM,37.16,1,2986.25,0,1
SHP-000029,2025-03,5,BAT-001123,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-08,EMEA,42.9,1,3146.02,0,0
SHP-000030,2025-10,12,BAT-002846,PLT-03,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-09,AMER,38.64,1,3988.2,0,0
SHP-000031,2025-02,4,BAT-001038,PLT-02,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-11,EMEA,51.56,1,7160.38,0,0
SHP-000032,2025-01,3,BAT-000721,PLT-02,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-09,AMER,45.42,0,3143.27,0,0
SHP-000033,2026-04,18,BAT-004091,PLT-05,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-10,APAC,48.46,1,4224.66,0,1
SHP-000034,2025-10,12,BAT-002828,PLT-05,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-06,AMER,39.81,0,4508.3,0,0
SHP-000035,2025-06,8,BAT-001932,PLT-01,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-03,APAC,32.2,1,2847.92,0,0
SHP-000036,2026-08,22,BAT-004848,PLT-06,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-05,LATAM,29.09,1,2820.03,0,1
SHP-000037,2025-04,6,BAT-001479,PLT-02,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-02,AMER,48.95,1,5550.01,0,0
SHP-000038,2025-10,12,BAT-002680,PLT-04,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-11,EMEA,35.59,1,2087.3,0,0
SHP-000039,2025-05,7,BAT-001549,PLT-05,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-06,AMER,24.7,1,3150.35,0,0
SHP-000040,2025-08,10,BAT-002305,PLT-03,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-09,AMER,52.37,1,6190.45,0,0
SHP-000041,2025-02,4,BAT-000975,PLT-06,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-06,AMER,52.4,1,3680.82,0,0
SHP-000042,2026-01,15,BAT-003509,PLT-04,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-10,APAC,27.1,1,1753.32,0,0
SHP-000043,2026-03,17,BAT-003816,PLT-02,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-13,AMER,64.44,1,7452.17,0,0
SHP-000044,2025-01,3,BAT-000864,PLT-01,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-10,APAC,54.24,1,7560.7,0,0
SHP-000045,2026-09,23,BAT-005079,PLT-06,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-04,EMEA,30.68,1,3733.51,0,1
SHP-000046,2026-09,23,BAT-005164,PLT-05,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-12,LATAM,29.2,0,2537.79,0,1
SHP-000047,2025-06,8,BAT-001761,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-08,EMEA,40.96,1,2580.87,0,0
SHP-000048,2024-10,0,BAT-000074,PLT-03,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-06,AMER,34.79,1,4269.51,0,0
SHP-000049,2026-02,16,BAT-003708,PLT-03,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-01,EMEA,32.16,1,3249.84,0,0
SHP-000050,2025-10,12,BAT-002745,PLT-05,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-04,EMEA,0.83,0,91.69,1,0
SHP-000051,2026-02,16,BAT-003586,PLT-04,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-14,APAC,66.34,1,8858.55,0,0
SHP-000052,2026-03,17,BAT-003935,PLT-04,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-01,EMEA,21.34,1,1654.16,0,0
SHP-000053,2024-10,0,BAT-000030,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-07,APAC,42.15,1,3782.79,0,0
SHP-000054,2025-10,12,BAT-002815,PLT-04,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-15,EMEA,88.83,1,12745.55,0,0
SHP-000055,2025-10,12,BAT-002660,PLT-03,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-05,LATAM,18.22,1,2256.27,0,0
SHP-000056,2024-11,1,BAT-000327,PLT-01,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-11,EMEA,55.37,1,5472.53,0,0
SHP-000057,2026-08,22,BAT-004855,PLT-04,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-01,EMEA,3.51,1,388.42,0,1
SHP-000058,2026-03,17,BAT-003823,PLT-05,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-03,APAC,1.89,1,186.92,0,0
SHP-000059,2024-11,1,BAT-000377,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-02,AMER,20.03,1,1678.39,0,0
SHP-000060,2025-11,13,BAT-002941,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-11,EMEA,15.97,1,1957.14,0,0
SHP-000061,2025-07,9,BAT-002007,PLT-06,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-04,EMEA,36.91,1,3107.57,0,0
SHP-000062,2026-06,20,BAT-004442,PLT-05,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-10,APAC,47.02,1,6569.3,0,1
SHP-000063,2025-10,12,BAT-002757,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-07,APAC,26.5,1,3459.06,0,0
SHP-000064,2026-07,21,BAT-004694,PLT-02,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-11,EMEA,34.83,0,4829.92,0,1
SHP-000065,2024-11,1,BAT-000370,PLT-06,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-14,APAC,18.75,1,2188.66,0,0
SHP-000066,2025-07,9,BAT-002178,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-01,EMEA,49.43,1,6102.0,0,0
SHP-000067,2025-10,12,BAT-002770,PLT-06,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-02,AMER,28.25,1,2379.39,0,0
SHP-000068,2025-08,10,BAT-002407,PLT-02,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-02,AMER,74.78,1,8560.51,0,0
SHP-000069,2025-07,9,BAT-002074,PLT-05,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-02,AMER,12.22,1,1121.59,0,0
SHP-000070,2025-04,6,BAT-001523,PLT-06,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-14,APAC,54.16,1,3730.79,0,0
SHP-000071,2025-07,9,BAT-002148,PLT-02,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-08,EMEA,67.2,1,6234.87,0,0
SHP-000072,2024-12,2,BAT-000480,PLT-04,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-07,APAC,21.14,1,2736.56,1,0
SHP-000073,2026-04,18,BAT-004060,PLT-02,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-05,LATAM,49.56,1,6405.3,1,1
SHP-000074,2024-11,1,BAT-000397,PLT-01,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-07,APAC,75.67,1,6119.73,0,0
SHP-000075,2026-08,22,BAT-004938,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-14,APAC,60.94,1,6768.05,0,1
SHP-000076,2026-06,20,BAT-004556,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-04,EMEA,107.57,1,7797.54,0,1
SHP-000077,2025-04,6,BAT-001382,PLT-02,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-02,AMER,88.97,1,10411.12,0,0
SHP-000078,2025-12,14,BAT-003160,PLT-01,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-02,AMER,18.39,1,1319.29,0,0
SHP-000079,2025-02,4,BAT-000910,PLT-01,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-02,AMER,37.72,1,4786.4,0,0
SHP-000080,2026-04,18,BAT-004053,PLT-04,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-14,APAC,43.36,1,5247.8,0,1
SHP-000081,2026-06,20,BAT-004403,PLT-02,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-07,APAC,41.31,1,5230.13,0,1
SHP-000082,2025-01,3,BAT-000767,PLT-05,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-12,LATAM,23.59,1,2883.65,0,0
SHP-000083,2025-11,13,BAT-003037,PLT-05,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-01,EMEA,50.88,1,3556.76,0,0
SHP-000084,2025-09,11,BAT-002450,PLT-02,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-09,AMER,44.28,1,5490.67,0,0
SHP-000085,2025-10,12,BAT-002668,PLT-04,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-03,APAC,41.73,1,2652.14,0,0
SHP-000086,2025-06,8,BAT-001912,PLT-04,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-07,APAC,102.68,1,9594.43,0,0
SHP-000087,2025-03,5,BAT-001155,PLT-03,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-09,AMER,30.57,0,2360.17,0,0
SHP-000088,2025-11,13,BAT-002935,PLT-06,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-11,EMEA,20.45,1,2157.6,0,0
SHP-000089,2025-06,8,BAT-001816,PLT-01,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-11,EMEA,52.68,1,5219.88,0,0
SHP-000090,2025-10,12,BAT-002787,PLT-01,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-05,LATAM,45.04,1,4671.39,0,0
SHP-000091,2026-04,18,BAT-004131,PLT-03,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-09,AMER,54.97,1,4611.38,0,1
SHP-000092,2025-10,12,BAT-002744,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-15,EMEA,2.54,1,332.14,0,0
SHP-000093,2025-04,6,BAT-001488,PLT-02,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-12,LATAM,77.8,0,5729.8,0,0
SHP-000094,2025-09,11,BAT-002566,PLT-03,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-13,AMER,56.74,1,4737.31,0,0
SHP-000095,2025-05,7,BAT-001673,PLT-03,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-15,EMEA,52.01,1,6772.25,0,0
SHP-000096,2025-07,9,BAT-002158,PLT-06,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-15,EMEA,22.78,1,2314.95,0,0
SHP-000097,2025-01,3,BAT-000761,PLT-01,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-03,APAC,2.84,1,262.63,0,0
SHP-000098,2025-03,5,BAT-001201,PLT-05,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-04,EMEA,21.95,1,3000.1,0,0
SHP-000099,2025-11,13,BAT-002987,PLT-06,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-03,APAC,2.24,1,313.81,0,0
SHP-000100,2025-11,13,BAT-002868,PLT-02,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-14,APAC,2.64,1,340.96,0,0
SHP-000101,2024-11,1,BAT-000381,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-14,APAC,75.38,1,9649.85,0,0
SHP-000102,2026-02,16,BAT-003695,PLT-01,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-12,LATAM,35.34,1,3395.72,0,0
SHP-000103,2025-12,14,BAT-003095,PLT-02,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-01,EMEA,54.65,1,7115.16,0,0
SHP-000104,2026-08,22,BAT-004863,PLT-04,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-06,AMER,19.35,1,2145.02,0,1
SHP-000105,2026-07,21,BAT-004818,PLT-05,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-06,AMER,16.44,1,1606.94,0,1
