po_id,period,period_idx,supplier_id,region,geo_risk,material_id,qty_t,on_time_in_full,actual_lead_days,planned_lead_days,po_value,quality_reject,cs_active,lead_time_variance
PO-000093,2024-11,1,SUP-03,APAC,Medium,RM-16,220.65,1,39.5,34.0,96628.16,0,0,5.5
PO-000094,2024-11,1,SUP-03,APAC,Medium,RM-03,182.15,1,40.8,34.0,178089.2,0,0,6.799999999999997
PO-000095,2024-11,1,SUP-03,APAC,Medium,RM-08,68.03,1,34.7,34.0,49885.1,0,0,0.7000000000000028
PO-000096,2024-11,1,SUP-03,APAC,Medium,RM-01,203.47,1,39.2,34.0,169921.4,0,0,5.200000000000003
PO-000097,2024-11,1,SUP-03,APAC,Medium,RM-19,111.02,1,34.1,34.0,32790.18,0,0,0.10000000000000142
PO-000098,2024-11,1,SUP-03,APAC,Medium,RM-15,99.81,1,34.1,34.0,89453.09,0,0,0.10000000000000142
PO-000099,2024-11,1,SUP-03,APAC,Medium,RM-06,226.45,1,34.0,34.0,714928.49,0,0,0.0
PO-000100,2024-11,1,SUP-03,APAC,Medium,RM-17,207.04,1,26.6,34.0,347914.04,0,0,-7.399999999999999
PO-000101,2024-11,1,SUP-03,APAC,Medium,RM-19,49.85,1,32.3,34.0,14722.06,0,0,-1.7000000000000028
PO-000102,2024-11,1,SUP-03,APAC,Medium,RM-01,165.3,1,37.8,34.0,138047.65,0,0,3.799999999999997
PO-000103,2024-11,1,SUP-04,EMEA,Low,RM-02,91.95,1,7.1,10.0,73977.21,0,0,-2.9000000000000004
PO-000104,2024-11,1,SUP-04,EMEA,Low,RM-16,203.76,1,9.2,10.0,89234.09,0,0,-0.8000000000000007
PO-000105,2024-11,1,SUP-04,EMEA,Low,RM-16,135.02,1,8.7,10.0,59129.24,0,0,-1.3000000000000007
PO-000106,2024-11,1,SUP-04,EMEA,Low,RM-20,188.39,1,8.9,10.0,374137.32,0,0,-1.0999999999999996
PO-000107,2024-11,1,SUP-04,EMEA,Low,RM-20,157.24,1,11.0,10.0,312265.05,0,0,1.0
PO-000108,2024-11,1,SUP-04,EMEA,Low,RM-09,245.28,1,9.5,10.0,159874.44,0,0,-0.5
PO-000109,2024-11,1,SUP-04,EMEA,Low,RM-13,233.69,1,5.4,10.0,80921.43,0,0,-4.6
PO-000110,2024-11,1,SUP-04,EMEA,Low,RM-13,184.01,1,8.6,10.0,63718.12,0,0,-1.4000000000000004
PO-000111,2024-11,1,SUP-04,EMEA,Low,RM-04,43.88,0,10.7,10.0,18321.36,0,0,0.6999999999999993
PO-000112,2024-11,1,SUP-04,EMEA,Low,RM-13,132.65,1,6.8,10.0,45932.73,0,0,-3.2
PO-000113,2024-11,1,SUP-04,EMEA,Low,RM-20,41.06,1,9.5,10.0,81551.06,0,0,-0.5
PO-000114,2024-11,1,SUP-05,LATAM,Medium,RM-12,194.81,1,28.4,26.0,51586.16,0,0,2.3999999999999986
PO-000115,2024-11,1,SUP-05,LATAM,Medium,RM-06,165.11,1,21.3,26.0,521277.07,0,0,-4.699999999999999
PO-000116,2024-11,1,SUP-05,LATAM,Medium,RM-17,179.09,1,25.5,26.0,300956.66,0,0,-0.5
PO-000117,2024-11,1,SUP-05,LATAM,Medium,RM-15,149.54,1,26.8,26.0,134026.36,0,0,0.8000000000000007
PO-000118,2024-11,1,SUP-05,LATAM,Medium,RM-15,133.83,1,26.9,26.0,119941.0,0,0,0.8999999999999986
PO-000119,2024-11,1,SUP-05,LATAM,Medium,RM-09,163.99,1,24.4,26.0,106887.64,0,0,-1.6000000000000014
PO-000120,2024-11,1,SUP-05,LATAM,Medium,RM-20,184.25,1,21.7,26.0,365920.51,0,0,-4.300000000000001
PO-000121,2024-11,1,SUP-05,LATAM,Medium,RM-02,209.73,1,31.0,26.0,168743.52,0,0,5.0
PO-000122,2024-11,1,SUP-05,LATAM,Medium,RM-05,234.6,1,26.5,26.0,43006.41,0,0,0.5
PO-000123,2024-11,1,SUP-06,APAC,Medium,RM-02,131.09,1,26.4,29.0,105472.13,0,0,-2.6000000000000014
PO-000124,2024-11,1,SUP-06,APAC,Medium,RM-08,165.73,1,29.9,29.0,121523.71,0,0,0.8999999999999986
PO-000125,2024-11,1,SUP-06,APAC,Medium,RM-08,178.34,1,28.8,29.0,130773.81,0,0,-0.1999999999999993
PO-000126,2024-11,1,SUP-06,APAC,Medium,RM-16,258.21,1,26.1,29.0,113079.59,0,0,-2.8999999999999986
PO-000127,2024-11,1,SUP-06,APAC,Medium,RM-14,147.94,0,31.0,29.0,57253.06,0,0,2.0
PO-000128,2024-11,1,SUP-06,APAC,Medium,RM-10,100.89,1,28.1,29.0,121241.55,0,0,-0.8999999999999986
PO-000129,2024-11,1,SUP-06,APAC,Medium,RM-15,144.73,0,27.0,29.0,129713.54,0,0,-2.0
PO-000130,2024-11,1,SUP-06,APAC,Medium,RM-01,172.43,1,33.2,29.0,144003.78,0,0,4.200000000000003
PO-000131,2024-11,1,SUP-06,APAC,Medium,RM-04,175.32,1,24.1,29.0,73207.9,0,0,-4.899999999999999
PO-000132,2024-11,1,SUP-07,EMEA,High,RM-05,133.15,1,24.6,22.0,24408.9,1,0,2.6000000000000014
PO-000133,2024-11,1,SUP-07,EMEA,High,RM-12,80.63,1,21.3,22.0,21350.53,0,0,-0.6999999999999993
PO-000134,2024-11,1,SUP-07,EMEA,High,RM-19,50.8,1,25.8,22.0,15002.34,0,0,3.8000000000000007
PO-000135,2024-11,1,SUP-07,EMEA,High,RM-10,255.16,1,24.3,22.0,306637.04,0,0,2.3000000000000007
PO-000136,2024-11,1,SUP-07,EMEA,High,RM-11,118.06,0,16.8,22.0,270545.04,0,0,-5.199999999999999
PO-000137,2024-11,1,SUP-07,EMEA,High,RM-10,197.62,1,18.8,22.0,237490.4,0,0,-3.1999999999999993
PO-000138,2024-11,1,SUP-07,EMEA,High,RM-02,203.43,1,28.0,22.0,163676.21,0,0,6.0
PO-000139,2024-11,1,SUP-07,EMEA,High,RM-07,149.67,0,23.1,22.0,4344233.44,0,0,1.1000000000000014
PO-000140,2024-11,1,SUP-08,APAC,Low,RM-06,83.76,1,16.7,20.0,264434.68,0,0,-3.3000000000000007
PO-000141,2024-11,1,SUP-08,APAC,Low,RM-13,64.06,1,17.5,20.0,22183.79,0,0,-2.5
PO-000142,2024-11,1,SUP-08,APAC,Low,RM-10,215.77,1,19.0,20.0,259300.97,0,0,-1.0
PO-000143,2024-11,1,SUP-08,APAC,Low,RM-20,131.18,1,21.2,20.0,260511.93,0,0,1.1999999999999993
PO-000144,2024-11,1,SUP-08,APAC,Low,RM-01,155.93,1,15.9,20.0,130224.92,1,0,-4.1
PO-000145,2024-11,1,SUP-08,APAC,Low,RM-10,221.8,1,20.2,20.0,266549.36,0,0,0.1999999999999993
PO-000146,2024-11,1,SUP-08,APAC,Low,RM-03,172.45,0,19.0,20.0,168607.74,0,0,-1.0
PO-000147,2024-11,1,SUP-08,APAC,Low,RM-07,54.58,1,20.7,20.0,1584243.65,0,0,0.6999999999999993
PO-000148,2024-11,1,SUP-09,AMER,Low,RM-03,87.58,1,13.0,14.0,85627.72,0,0,-1.0
PO-000149,2024-11,1,SUP-09,AMER,Low,RM-09,219.06,1,19.6,14.0,142784.46,0,0,5.600000000000001
PO-000150,2024-11,1,SUP-09,AMER,Low,RM-09,77.83,1,16.7,14.0,50732.89,0,0,2.6999999999999993
PO-000151,2024-11,1,SUP-09,AMER,Low,RM-12,239.51,1,10.6,14.0,63422.1,0,0,-3.4000000000000004
PO-000152,2024-11,1,SUP-09,AMER,Low,RM-01,70.21,1,11.6,14.0,58634.54,0,0,-2.4000000000000004
PO-000153,2024-11,1,SUP-09,AMER,Low,RM-04,58.68,1,14.4,14.0,24501.1,0,0,0.40000000000000036
PO-000154,2024-11,1,SUP-09,AMER,Low,RM-02,56.89,1,14.3,14.0,45769.29,0,0,0.3000000000000007
PO-000155,2024-11,1,SUP-09,AMER,Low,RM-10,136.19,1,16.5,14.0,163668.35,0,0,2.5
PO-000156,2024-11,1,SUP-09,AMER,Low,RM-17,257.7,1,16.9,14.0,433043.92,0,0,2.8999999999999986
PO-000157,2024-11,1,SUP-09,AMER,Low,RM-02,224.03,1,15.2,14.0,180244.74,0,0,1.1999999999999993
PO-000158,2024-11,1,SUP-09,AMER,Low,RM-06,187.21,1,12.9,14.0,591044.38,0,0,-1.0999999999999996
PO-000159,2024-11,1,SUP-10,EMEA,Medium,RM-10,149.7,1,23.8,24.0,179901.5,0,0,-0.1999999999999993
PO-000160,2024-11,1,SUP-10,EMEA,Medium,RM-19,46.26,1,26.6,24.0,13663.05,0,0,2.6000000000000014
PO-000161,2024-11,1,SUP-10,EMEA,Medium,RM-12,69.36,1,22.4,24.0,18365.99,0,0,-1.6000000000000014
PO-000162,2024-11,1,SUP-10,EMEA,Medium,RM-12,252.05,1,24.4,24.0,66741.27,0,0,0.3999999999999986
PO-000163,2024-11,1,SUP-10,EMEA,Medium,RM-17,148.41,1,30.1,24.0,249391.29,0,0,6.100000000000001
PO-000164,2024-11,1,SUP-10,EMEA,Medium,RM-07,248.32,1,23.1,24.0,7207803.8,0,0,-0.8999999999999986
PO-000165,2024-11,1,SUP-10,EMEA,Medium,RM-10,126.08,1,25.5,24.0,151515.17,0,0,1.5
PO-000166,2024-12,2,SUP-01,EMEA,Low,RM-14,129.8,1,14.9,12.0,51056.6,0,0,2.9000000000000004
PO-000167,2024-12,2,SUP-01,EMEA,Low,RM-05,62.31,1,6.3,12.0,11608.79,0,0,-5.7
PO-000168,2024-12,2,SUP-01,EMEA,Low,RM-18,158.81,1,11.2,12.0,394526.87,0,0,-0.8000000000000007
PO-000169,2024-12,2,SUP-01,EMEA,Low,RM-01,207.98,1,12.2,12.0,176527.29,0,0,0.1999999999999993
PO-000170,2024-12,2,SUP-01,EMEA,Low,RM-02,78.83,1,14.9,12.0,64465.61,0,0,2.9000000000000004
PO-000171,2024-12,2,SUP-01,EMEA,Low,RM-02,129.88,1,11.8,12.0,106205.61,0,0,-0.1999999999999993
PO-000172,2024-12,2,SUP-01,EMEA,Low,RM-19,125.25,1,13.0,12.0,37598.61,0,0,1.0
PO-000173,2024-12,2,SUP-02,AMER,Low,RM-06,65.38,1,17.5,18.0,209803.51,0,0,-0.5
PO-000174,2024-12,2,SUP-02,AMER,Low,RM-05,194.12,1,17.5,18.0,36168.92,0,0,-0.5
PO-000175,2024-12,2,SUP-02,AMER,Low,RM-13,137.85,1,20.7,18.0,48514.07,0,0,2.6999999999999993
PO-000176,2024-12,2,SUP-02,AMER,Low,RM-04,72.13,1,21.1,18.0,30613.61,0,0,3.1000000000000014
PO-000177,2024-12,2,SUP-02,AMER,Low,RM-07,240.04,1,22.5,18.0,7081247.86,0,0,4.5
PO-000178,2024-12,2,SUP-02,AMER,Low,RM-14,147.27,1,18.5,18.0,57926.75,0,0,0.5
PO-000179,2024-12,2,SUP-02,AMER,Low,RM-15,143.3,1,13.7,18.0,130531.61,0,0,-4.300000000000001
PO-000180,2024-12,2,SUP-02,AMER,Low,RM-17,239.47,1,15.3,18.0,408995.96,0,0,-2.6999999999999993
PO-000181,2024-12,2,SUP-02,AMER,Low,RM-06,113.46,1,17.2,18.0,364070.95,0,0,-0.8000000000000007
PO-000182,2024-12,2,SUP-02,AMER,Low,RM-04,249.0,1,17.0,18.0,105672.99,0,0,-1.0
PO-000183,2024-12,2,SUP-02,AMER,Low,RM-16,240.12,1,14.2,18.0,106874.89,0,0,-3.8000000000000007
PO-000184,2024-12,2,SUP-03,APAC,Medium,RM-13,57.75,1,32.4,34.0,20323.06,0,0,-1.6000000000000014
PO-000185,2024-12,2,SUP-03,APAC,Medium,RM-18,102.36,0,28.8,34.0,254283.63,0,0,-5.199999999999999
PO-000186,2024-12,2,SUP-03,APAC,Medium,RM-15,124.89,1,34.3,34.0,113760.07,0,0,0.29999999999999716
PO-000187,2024-12,2,SUP-03,APAC,Medium,RM-02,163.2,0,25.0,34.0,133453.68,0,0,-9.0
PO-000188,2024-12,2,SUP-03,APAC,Medium,RM-19,142.36,1,32.7,34.0,42732.54,0,0,-1.2999999999999972
PO-000189,2024-12,2,SUP-03,APAC,Medium,RM-03,76.27,1,27.2,34.0,75785.49,0,0,-6.800000000000001
PO-000190,2024-12,2,SUP-03,APAC,Medium,RM-13,247.64,1,37.9,34.0,87152.78,0,0,3.8999999999999986
PO-000191,2024-12,2,SUP-03,APAC,Medium,RM-04,143.17,1,35.7,34.0,60761.53,0,0,1.7000000000000028
PO-000192,2024-12,2,SUP-04,EMEA,Low,RM-12,105.23,1,8.3,10.0,28319.44,0,0,-1.6999999999999993
PO-000193,2024-12,2,SUP-04,EMEA,Low,RM-02,199.26,1,0.5,10.0,162937.78,0,0,-9.5
PO-000194,2024-12,2,SUP-04,EMEA,Low,RM-04,200.61,1,2.3,10.0,85137.81,0,0,-7.7
PO-000195,2024-12,2,SUP-04,EMEA,Low,RM-12,212.27,0,14.6,10.0,57126.43,0,0,4.6
PO-000196,2024-12,2,SUP-04,EMEA,Low,RM-20,249.14,1,11.3,10.0,502871.25,0,0,1.3000000000000007
PO-000197,2024-12,2,SUP-04,EMEA,Low,RM-01,127.75,1,7.2,10.0,108431.61,0,0,-2.8
PO-000198,2024-12,2,SUP-04,EMEA,Low,RM-19,233.1,1,3.2,10.0,69972.49,0,0,-6.8
PO-000199,2024-12,2,SUP-04,EMEA,Low,RM-01,150.24,1,11.7,10.0,127517.84,0,0,1.6999999999999993
PO-000200,2024-12,2,SUP-04,EMEA,Low,RM-02,111.74,1,9.8,10.0,91372.9,0,0,-0.1999999999999993
PO-000201,2024-12,2,SUP-05,LATAM,Medium,RM-05,253.78,1,22.1,26.0,47284.15,0,0,-3.8999999999999986
PO-000202,2024-12,2,SUP-05,LATAM,Medium,RM-11,214.08,0,27.7,26.0,498595.6,0,0,1.6999999999999993
PO-000203,2024-12,2,SUP-05,LATAM,Medium,RM-18,84.29,1,30.0,26.0,209388.03,0,0,4.0
PO-000204,2024-12,2,SUP-05,LATAM,Medium,RM-18,112.0,1,25.5,26.0,278247.85,0,0,-0.5
PO-000205,2024-12,2,SUP-05,LATAM,Medium,RM-09,121.05,1,28.7,26.0,80190.74,0,0,2.6999999999999993
PO-000206,2024-12,2,SUP-05,LATAM,Medium,RM-18,221.38,1,27.0,26.0,549966.68,0,0,1.0
PO-000207,2024-12,2,SUP-05,LATAM,Medium,RM-10,66.53,1,26.0,26.0,81262.74,0,0,0.0
PO-000208,2024-12,2,SUP-05,LATAM,Medium,RM-06,204.82,1,28.5,26.0,657217.24,0,0,2.5
PO-000209,2024-12,2,SUP-05,LATAM,Medium,RM-13,50.02,1,25.2,26.0,17604.38,0,0,-0.8000000000000007
PO-000210,2024-12,2,SUP-06,APAC,Medium,RM-12,115.44,1,30.4,29.0,31066.87,1,0,1.3999999999999986
PO-000211,2024-12,2,SUP-06,APAC,Medium,RM-13,257.14,1,26.3,29.0,90498.1,1,0,-2.6999999999999993
PO-000212,2024-12,2,SUP-06,APAC,Medium,RM-03,94.79,1,26.1,29.0,94189.98,0,0,-2.8999999999999986
PO-000213,2024-12,2,SUP-06,APAC,Medium,RM-11,170.35,0,29.0,29.0,396739.9,0,0,0.0
PO-000214,2024-12,2,SUP-06,APAC,Medium,RM-18,190.35,1,27.9,29.0,472883.12,0,0,-1.1000000000000014
PO-000215,2024-12,2,SUP-06,APAC,Medium,RM-07,229.58,1,31.9,29.0,6772760.26,0,0,2.8999999999999986
PO-000216,2024-12,2,SUP-06,APAC,Medium,RM-15,53.48,1,31.2,29.0,48713.05,0,0,2.1999999999999993
PO-000217,2024-12,2,SUP-07,EMEA,High,RM-08,91.08,1,21.6,22.0,67881.21,0,0,-0.3999999999999986
PO-000218,2024-12,2,SUP-07,EMEA,High,RM-11,234.24,1,14.8,22.0,545552.57,0,0,-7.199999999999999
PO-000219,2024-12,2,SUP-07,EMEA,High,RM-18,181.77,1,24.4,22.0,451555.83,1,0,2.3999999999999986
PO-000220,2024-12,2,SUP-07,EMEA,High,RM-06,199.9,1,20.5,22.0,641457.09,1,0,-1.5
