capa_id,batch_id,period,period_idx,plant_id,formula_id,product_family,root_cause,recurring,closed_on_time,cs_active
CAPA-00130,BAT-003992,2026-04,18,PLT-03,FRM-10,Agrochem,Documentation gap,0,1,1
CAPA-00131,BAT-001157,2025-03,5,PLT-03,FRM-04,Agrochem,Raw material variance,1,1,0
CAPA-00132,BAT-002773,2025-10,12,PLT-02,FRM-05,Coatings,Process parameter drift,0,1,0
CAPA-00133,BAT-004299,2026-05,19,PLT-01,FRM-02,Polymers,Process parameter drift,0,1,1
CAPA-00134,BAT-003045,2025-11,13,PLT-03,FRM-05,Coatings,Equipment calibration,0,1,0
CAPA-00135,BAT-000940,2025-02,4,PLT-05,FRM-05,Coatings,Process parameter drift,0,1,0
CAPA-00136,BAT-002962,2025-11,13,PLT-01,FRM-09,Specialty,Operator deviation,0,1,0
CAPA-00137,BAT-003223,2025-12,14,PLT-04,FRM-05,Coatings,Raw material variance,1,1,0
CAPA-00138,BAT-002772,2025-10,12,PLT-06,FRM-08,Surfactants,Process parameter drift,0,1,0
CAPA-00139,BAT-001031,2025-02,4,PLT-04,FRM-06,Coatings,Documentation gap,0,1,0
CAPA-00140,BAT-000648,2024-12,2,PLT-02,FRM-01,Polymers,Operator deviation,0,1,0
CAPA-00141,BAT-000688,2025-01,3,PLT-05,FRM-01,Polymers,Raw material variance,1,0,0
CAPA-00142,BAT-004089,2026-04,18,PLT-01,FRM-09,Specialty,Raw material variance,1,1,1
CAPA-00143,BAT-000143,2024-10,0,PLT-03,FRM-04,Agrochem,Raw material variance,1,1,0
CAPA-00144,BAT-004656,2026-07,21,PLT-06,FRM-09,Specialty,Equipment calibration,0,1,1
CAPA-00145,BAT-001981,2025-07,9,PLT-04,FRM-06,Coatings,Contamination,0,1,0
CAPA-00146,BAT-000737,2025-01,3,PLT-03,FRM-05,Coatings,Raw material variance,0,1,0
CAPA-00147,BAT-002586,2025-09,11,PLT-03,FRM-10,Agrochem,Process parameter drift,1,1,0
CAPA-00148,BAT-005057,2026-08,22,PLT-01,FRM-05,Coatings,Process parameter drift,0,1,1
CAPA-00149,BAT-001986,2025-07,9,PLT-06,FRM-01,Polymers,Contamination,0,0,0
CAPA-00150,BAT-002693,2025-10,12,PLT-02,FRM-04,Agrochem,Operator deviation,0,1,0
CAPA-00151,BAT-000111,2024-10,0,PLT-01,FRM-03,Solvents,Operator deviation,0,1,0
CAPA-00152,BAT-004294,2026-05,19,PLT-01,FRM-08,Surfactants,Operator deviation,0,1,1
CAPA-00153,BAT-002553,2025-09,11,PLT-06,FRM-09,Specialty,Contamination,1,1,0
CAPA-00154,BAT-003614,2026-02,16,PLT-01,FRM-09,Specialty,Process parameter drift,0,1,0
CAPA-00155,BAT-003383,2026-01,15,PLT-03,FRM-09,Specialty,Raw material variance,0,0,0
CAPA-00156,BAT-000112,2024-10,0,PLT-02,FRM-01,Polymers,Raw material variance,0,1,0
CAPA-00157,BAT-000432,2024-11,1,PLT-04,FRM-08,Surfactants,Operator deviation,0,1,0
CAPA-00158,BAT-004391,2026-05,19,PLT-05,FRM-05,Coatings,Documentation gap,0,0,1
CAPA-00159,BAT-000932,2025-02,4,PLT-03,FRM-04,Agrochem,Operator deviation,0,1,0
CAPA-00160,BAT-003268,2025-12,14,PLT-03,FRM-04,Agrochem,Process parameter drift,0,1,0
CAPA-00161,BAT-003244,2025-12,14,PLT-06,FRM-06,Coatings,Equipment calibration,0,1,0
CAPA-00162,BAT-002288,2025-08,10,PLT-06,FRM-12,Solvents,Equipment calibration,0,1,0
CAPA-00163,BAT-000748,2025-01,3,PLT-05,FRM-06,Coatings,Equipment calibration,0,1,0
CAPA-00164,BAT-002579,2025-09,11,PLT-01,FRM-09,Specialty,Raw material variance,1,1,0
CAPA-00165,BAT-000520,2024-12,2,PLT-05,FRM-09,Specialty,Process parameter drift,1,1,0
CAPA-00166,BAT-000024,2024-10,0,PLT-01,FRM-07,Catalysts,Contamination,0,1,0
CAPA-00167,BAT-005263,2026-09,23,PLT-03,FRM-01,Polymers,Operator deviation,0,1,1
CAPA-00168,BAT-000171,2024-10,0,PLT-06,FRM-04,Agrochem,Operator deviation,1,1,0
CAPA-00169,BAT-000118,2024-10,0,PLT-02,FRM-09,Specialty,Contamination,0,1,0
CAPA-00170,BAT-002185,2025-07,9,PLT-05,FRM-09,Specialty,Operator deviation,0,1,0
CAPA-00171,BAT-004759,2026-07,21,PLT-06,FRM-01,Polymers,Contamination,0,1,1
CAPA-00172,BAT-001465,2025-04,6,PLT-06,FRM-09,Specialty,Raw material variance,0,0,0
CAPA-00173,BAT-000592,2024-12,2,PLT-05,FRM-11,Polymers,Contamination,0,1,0
CAPA-00174,BAT-001473,2025-04,6,PLT-04,FRM-05,Coatings,Process parameter drift,0,1,0
CAPA-00175,BAT-005140,2026-09,23,PLT-06,FRM-04,Agrochem,Process parameter drift,1,1,1
CAPA-00176,BAT-003759,2026-03,17,PLT-06,FRM-09,Specialty,Process parameter drift,0,1,0
CAPA-00177,BAT-003357,2026-01,15,PLT-03,FRM-11,Polymers,Documentation gap,0,0,0
CAPA-00178,BAT-003880,2026-03,17,PLT-04,FRM-03,Solvents,Operator deviation,0,1,0
CAPA-00179,BAT-003044,2025-11,13,PLT-02,FRM-02,Polymers,Contamination,0,1,0
CAPA-00180,BAT-002482,2025-09,11,PLT-01,FRM-10,Agrochem,Process parameter drift,0,1,0
CAPA-00181,BAT-000733,2025-01,3,PLT-06,FRM-09,Specialty,Equipment calibration,0,0,0
CAPA-00182,BAT-002418,2025-08,10,PLT-06,FRM-04,Agrochem,Equipment calibration,0,1,0
CAPA-00183,BAT-003596,2026-02,16,PLT-06,FRM-10,Agrochem,Process parameter drift,0,1,0
CAPA-00184,BAT-000529,2024-12,2,PLT-06,FRM-03,Solvents,Process parameter drift,1,1,0
CAPA-00185,BAT-001141,2025-03,5,PLT-05,FRM-12,Solvents,Raw material variance,0,1,0
CAPA-00186,BAT-003844,2026-03,17,PLT-05,FRM-03,Solvents,Contamination,0,0,0
CAPA-00187,BAT-002046,2025-07,9,PLT-04,FRM-08,Surfactants,Equipment calibration,0,0,0
CAPA-00188,BAT-002092,2025-07,9,PLT-02,FRM-04,Agrochem,Operator deviation,1,0,0
CAPA-00189,BAT-002325,2025-08,10,PLT-05,FRM-08,Surfactants,Contamination,0,1,0
CAPA-00190,BAT-000967,2025-02,4,PLT-03,FRM-03,Solvents,Process parameter drift,1,1,0
CAPA-00191,BAT-001269,2025-03,5,PLT-05,FRM-04,Agrochem,Documentation gap,0,0,0
CAPA-00192,BAT-000933,2025-02,4,PLT-05,FRM-07,Catalysts,Process parameter drift,0,1,0
CAPA-00193,BAT-003679,2026-02,16,PLT-03,FRM-02,Polymers,Equipment calibration,0,1,0
CAPA-00194,BAT-002090,2025-07,9,PLT-03,FRM-04,Agrochem,Process parameter drift,1,1,0
CAPA-00195,BAT-000690,2025-01,3,PLT-04,FRM-02,Polymers,Process parameter drift,0,1,0
CAPA-00196,BAT-002667,2025-10,12,PLT-03,FRM-11,Polymers,Operator deviation,0,1,0
CAPA-00197,BAT-002788,2025-10,12,PLT-06,FRM-05,Coatings,Documentation gap,0,1,0
CAPA-00198,BAT-002461,2025-09,11,PLT-06,FRM-10,Agrochem,Contamination,0,0,0
CAPA-00199,BAT-001707,2025-05,7,PLT-04,FRM-06,Coatings,Process parameter drift,0,0,0
CAPA-00200,BAT-005221,2026-09,23,PLT-06,FRM-09,Specialty,Operator deviation,0,1,1
CAPA-00201,BAT-002072,2025-07,9,PLT-01,FRM-12,Solvents,Equipment calibration,0,1,0
CAPA-00202,BAT-001893,2025-06,8,PLT-03,FRM-07,Catalysts,Operator deviation,1,1,0
CAPA-00203,BAT-004724,2026-07,21,PLT-03,FRM-10,Agrochem,Process parameter drift,0,0,1
CAPA-00204,BAT-000804,2025-01,3,PLT-06,FRM-04,Agrochem,Operator deviation,0,1,0
CAPA-00205,BAT-000904,2025-02,4,PLT-04,FRM-04,Agrochem,Raw material variance,0,1,0
CAPA-00206,BAT-003912,2026-03,17,PLT-03,FRM-03,Solvents,Raw material variance,0,1,0
CAPA-00207,BAT-002350,2025-08,10,PLT-03,FRM-09,Specialty,Raw material variance,1,0,0
CAPA-00208,BAT-001346,2025-04,6,PLT-02,FRM-09,Specialty,Raw material variance,0,1,0
CAPA-00209,BAT-001891,2025-06,8,PLT-02,FRM-05,Coatings,Contamination,0,1,0
