batch_id,period,period_idx,plant_id,region,formula_id,product_id,product_family,oee,yield_pct,planned_qty_t,actual_qty_t,sold_qty_t,qc_failed,rm_cost_per_t,total_cost,revenue,cs_active,gross_margin,conv_cost_per_t_calc
BAT-000027,2024-10,0,PLT-04,EMEA,FRM-11,PRD-11,Polymers,0.8534,0.9119,75.96,69.28,69.28,0,699.3,75976.33,115774.52,0,39798.19,300.9149815692472
BAT-000028,2024-10,0,PLT-06,APAC,FRM-06,PRD-06,Coatings,0.8076,0.8649,31.61,27.34,27.34,0,1372.28,62537.6,88952.15,0,26414.549999999996,606.1318949699462
BAT-000029,2024-10,0,PLT-05,LATAM,FRM-12,PRD-12,Solvents,0.7935,0.9715,27.71,26.92,26.92,0,584.64,23328.34,37701.7,0,14373.359999999997,257.2344135691086
BAT-000030,2024-10,0,PLT-02,AMER,FRM-08,PRD-08,Surfactants,0.8332,0.9145,46.09,42.15,42.15,0,1002.54,65697.45,95175.43,0,29477.979999999996,422.87657626383157
BAT-000031,2024-10,0,PLT-05,LATAM,FRM-04,PRD-04,Agrochem,0.7939,0.847,48.44,41.03,41.03,0,522.58,35447.75,47780.74,0,12332.989999999998,209.20674649050375
BAT-000032,2024-10,0,PLT-02,AMER,FRM-07,PRD-07,Catalysts,0.8059,0.8855,1.52,1.35,1.35,0,14308.0,30416.34,46930.84,0,16514.499999999996,5702.75
BAT-000033,2024-10,0,PLT-03,APAC,FRM-05,PRD-05,Coatings,0.5974,0.8328,33.77,28.12,28.12,0,1264.2,65676.37,81870.61,0,16194.240000000005,680.6140361267394
BAT-000034,2024-10,0,PLT-01,EMEA,FRM-03,PRD-03,Solvents,0.8906,0.9422,68.07,64.14,64.14,0,530.67,49361.52,85289.59,0,35928.07,194.48821947994713
BAT-000035,2024-10,0,PLT-04,EMEA,FRM-08,PRD-08,Surfactants,0.886,0.9366,56.18,52.61,0.0,1,1002.54,78773.56,0.0,0,-78773.56,399.62375934496254
BAT-000036,2024-10,0,PLT-04,EMEA,FRM-08,PRD-08,Surfactants,0.8879,0.9574,33.87,32.43,32.43,0,1002.54,47553.8,71017.17,0,23463.369999999995,401.4694478889876
BAT-000037,2024-10,0,PLT-04,EMEA,FRM-04,PRD-04,Agrochem,0.9314,0.9248,70.52,65.22,65.22,0,522.58,49477.11,78955.23,0,29478.119999999995,179.02394214407263
BAT-000038,2024-10,0,PLT-06,APAC,FRM-03,PRD-03,Solvents,0.866,0.948,78.58,74.5,74.5,0,530.67,58007.44,102612.31,0,44604.869999999995,207.52597862051425
BAT-000039,2024-10,0,PLT-05,LATAM,FRM-03,PRD-03,Solvents,0.8206,0.9423,44.85,42.26,42.26,0,530.67,34282.11,54949.35,0,20667.239999999998,233.70257525083616
BAT-000040,2024-10,0,PLT-05,LATAM,FRM-07,PRD-07,Catalysts,0.7817,0.9255,2.04,1.89,1.89,0,14308.0,42012.76,70577.26,0,28564.499999999993,6286.490196078434
BAT-000041,2024-10,0,PLT-06,APAC,FRM-03,PRD-03,Solvents,0.7985,0.9431,67.32,63.48,63.48,0,530.67,50771.93,84788.4,0,34016.469999999994,223.51790849673216
BAT-000042,2024-10,0,PLT-05,LATAM,FRM-11,PRD-11,Polymers,0.7767,0.9326,46.95,43.78,43.78,0,699.3,47557.67,75632.08,0,28074.410000000003,313.64291799787
BAT-000043,2024-10,0,PLT-04,EMEA,FRM-03,PRD-03,Solvents,0.8979,0.9504,98.05,93.18,93.18,0,530.67,70209.09,124513.19,0,54304.100000000006,185.38395206527287
BAT-000044,2024-10,0,PLT-01,EMEA,FRM-09,PRD-09,Specialty,0.8584,0.7993,20.19,16.14,16.14,0,1543.95,41353.62,40283.55,0,-1070.0699999999997,504.2728826151558
BAT-000045,2024-10,0,PLT-03,APAC,FRM-09,PRD-09,Specialty,0.6671,0.7733,31.31,24.21,24.21,0,1543.95,68571.42,63902.01,0,-4669.409999999996,646.1304854679017
BAT-000046,2024-10,0,PLT-01,EMEA,FRM-10,PRD-10,Agrochem,0.8387,0.9356,84.8,79.34,79.34,0,553.28,66976.59,98883.76,0,31907.17,236.53827830188675
BAT-000047,2024-10,0,PLT-06,APAC,FRM-04,PRD-04,Agrochem,0.8658,0.8751,64.04,56.04,56.04,0,522.58,46937.15,66633.09,0,19695.939999999995,210.35488444722034
BAT-000048,2024-10,0,PLT-02,AMER,FRM-02,PRD-02,Polymers,0.8774,0.9353,69.34,64.85,64.85,0,851.86,83748.21,131279.59,0,47531.37999999999,355.9307412748775
BAT-000049,2024-10,0,PLT-05,LATAM,FRM-01,PRD-01,Polymers,0.7652,0.9236,33.49,30.93,30.93,0,726.88,34216.62,52308.84,0,18092.219999999994,294.8166258584653
BAT-000050,2024-10,0,PLT-06,APAC,FRM-02,PRD-02,Polymers,0.8168,0.9307,36.36,33.84,33.84,0,851.86,43277.8,67033.41,0,23755.61,338.3985258525853
BAT-000051,2024-10,0,PLT-01,EMEA,FRM-04,PRD-04,Agrochem,0.8653,0.8998,56.04,50.42,50.42,0,522.58,40433.58,61528.34,0,21094.759999999995,198.9328479657388
BAT-000052,2024-10,0,PLT-02,AMER,FRM-11,PRD-11,Polymers,0.8233,0.9275,35.1,32.55,32.55,0,699.3,34324.39,55238.2,0,20913.809999999998,278.602849002849
BAT-000053,2024-10,0,PLT-06,APAC,FRM-01,PRD-01,Polymers,0.9247,0.9308,33.75,31.41,0.0,1,726.88,34217.25,0.0,0,-34217.25,286.96444444444444
BAT-000054,2024-10,0,PLT-05,LATAM,FRM-03,PRD-03,Solvents,0.8298,0.9843,33.58,33.06,33.06,0,530.67,25839.23,44350.98,0,18511.750000000004,238.81272781417522
BAT-000055,2024-10,0,PLT-04,EMEA,FRM-11,PRD-11,Polymers,0.8711,0.8996,82.04,73.8,73.8,0,699.3,77922.75,127408.66,0,49485.91,250.51411506582156
BAT-000056,2024-10,0,PLT-05,LATAM,FRM-03,PRD-03,Solvents,0.7999,0.9597,53.34,51.19,51.19,0,530.67,40640.87,70631.19,0,29990.32,231.25107236595431
BAT-000057,2024-10,0,PLT-06,APAC,FRM-07,PRD-07,Catalysts,0.7767,0.8801,2.0,1.76,1.76,0,14308.0,40395.41,62080.87,0,21685.46,5889.705000000002
BAT-000058,2024-10,0,PLT-02,AMER,FRM-10,PRD-10,Agrochem,0.8072,0.9322,45.96,42.85,42.85,0,553.28,35069.75,54472.59,0,19402.839999999997,209.76939077458655
BAT-000059,2024-10,0,PLT-05,LATAM,FRM-04,PRD-04,Agrochem,0.8306,0.8976,65.73,59.0,59.0,0,522.58,48411.6,70482.29,0,22070.689999999995,213.94213601095385
BAT-000060,2024-10,0,PLT-01,EMEA,FRM-09,PRD-09,Specialty,0.9253,0.8404,38.81,32.62,32.62,0,1543.95,78192.22,86817.47,0,8625.25,470.79413810873484
BAT-000061,2024-10,0,PLT-03,APAC,FRM-04,PRD-04,Agrochem,0.6224,0.9227,41.55,38.34,38.34,0,522.58,31508.14,45085.96,0,13577.82,235.7386522262334
BAT-000062,2024-10,0,PLT-03,APAC,FRM-06,PRD-06,Coatings,0.6285,0.8929,23.79,21.24,21.24,0,1372.28,48963.92,69972.25,0,21008.33,685.8923413198825
BAT-000063,2024-10,0,PLT-05,LATAM,FRM-02,PRD-02,Polymers,0.8053,0.9026,30.62,27.64,27.64,0,851.86,37937.35,53966.72,0,16029.370000000003,387.11289353363793
BAT-000064,2024-10,0,PLT-01,EMEA,FRM-06,PRD-06,Coatings,0.8934,0.8699,28.77,25.03,0.0,1,1372.28,56105.24,0.0,0,-56105.24,577.8499965241572
BAT-000065,2024-10,0,PLT-03,APAC,FRM-04,PRD-04,Agrochem,0.6331,0.8527,79.06,67.42,67.42,0,522.58,60477.52,80737.83,0,20260.310000000005,242.37724766000497
BAT-000066,2024-10,0,PLT-04,EMEA,FRM-04,PRD-04,Agrochem,0.8167,0.9062,54.6,49.48,49.48,0,522.58,41472.97,57459.02,0,15986.049999999996,236.9982051282051
BAT-000067,2024-10,0,PLT-03,APAC,FRM-10,PRD-10,Agrochem,0.6548,0.9105,51.74,47.11,47.11,0,553.28,40970.46,57797.01,0,16826.550000000003,238.57272516428293
BAT-000068,2024-10,0,PLT-06,APAC,FRM-10,PRD-10,Agrochem,0.8974,0.9457,64.36,60.87,60.87,0,553.28,49300.48,72556.46,0,23255.980000000003,212.731187072716
BAT-000069,2024-10,0,PLT-03,APAC,FRM-09,PRD-09,Specialty,0.6684,0.7547,44.79,33.8,33.8,0,1543.95,100645.84,90362.87,0,-10282.970000000001,703.1105045769143
BAT-000070,2024-10,0,PLT-02,AMER,FRM-12,PRD-12,Solvents,0.8968,0.9059,82.8,75.0,75.0,0,584.64,67599.81,106161.87,0,38562.06,231.78282608695656
BAT-000071,2024-10,0,PLT-03,APAC,FRM-09,PRD-09,Specialty,0.6627,0.8099,17.18,13.91,13.91,0,1543.95,38705.79,35630.89,0,-3074.9000000000015,709.0063445867288
BAT-000072,2024-10,0,PLT-01,EMEA,FRM-03,PRD-03,Solvents,0.8694,0.9501,33.56,31.88,31.88,0,530.67,25529.94,42207.92,0,16677.98,230.05526817640043
BAT-000073,2024-10,0,PLT-04,EMEA,FRM-09,PRD-09,Specialty,0.8988,0.8444,16.89,14.26,14.26,0,1543.95,34903.23,37974.67,0,3071.439999999995,522.5526642984016
BAT-000074,2024-10,0,PLT-03,APAC,FRM-01,PRD-01,Polymers,0.6294,0.8532,40.77,34.79,34.79,0,726.88,44344.9,59377.31,0,15032.409999999996,360.8045719892076
BAT-000075,2024-10,0,PLT-03,APAC,FRM-08,PRD-08,Surfactants,0.6016,0.8775,29.68,26.04,26.04,0,1002.54,43355.09,61994.33,0,18639.240000000005,458.2110107816711
BAT-000076,2024-10,0,PLT-04,EMEA,FRM-03,PRD-03,Solvents,0.8595,0.995,62.58,62.27,62.27,0,530.67,47250.39,84948.27,0,37697.880000000005,224.36978906999047
BAT-000077,2024-10,0,PLT-04,EMEA,FRM-11,PRD-11,Polymers,0.899,0.926,65.28,60.44,60.44,0,699.3,63422.83,99650.5,0,36227.67,272.2507046568628
BAT-000078,2024-10,0,PLT-03,APAC,FRM-04,PRD-04,Agrochem,0.7538,0.8594,84.04,72.23,72.23,0,522.58,64634.87,83232.02,0,18597.15,246.5165016658733
BAT-000079,2024-10,0,PLT-01,EMEA,FRM-01,PRD-01,Polymers,0.8595,0.9857,67.33,66.36,66.36,0,726.88,67394.23,112545.13,0,45150.90000000001,274.07395811673837
BAT-000080,2024-10,0,PLT-02,AMER,FRM-12,PRD-12,Solvents,0.7991,0.9276,53.23,49.38,49.38,0,584.64,45106.28,67102.17,0,21995.89,262.74455758031195
BAT-000081,2024-10,0,PLT-01,EMEA,FRM-07,PRD-07,Catalysts,0.884,0.8508,2.69,2.29,2.29,0,14308.0,54021.31,80261.8,0,26240.490000000005,5774.271375464683
BAT-000082,2024-10,0,PLT-04,EMEA,FRM-05,PRD-05,Coatings,0.8997,0.8871,31.31,27.78,27.78,0,1264.2,54997.05,80094.48,0,25097.429999999993,492.33305653145976
BAT-000083,2024-10,0,PLT-01,EMEA,FRM-03,PRD-03,Solvents,0.89,0.9914,50.57,50.13,50.13,0,530.67,37533.32,67792.79,0,30259.469999999994,211.5352600355942
BAT-000084,2024-10,0,PLT-01,EMEA,FRM-06,PRD-06,Coatings,0.9091,0.9144,17.18,15.7,15.7,0,1372.28,31720.49,53069.79,0,21349.3,474.0814668218861
BAT-000085,2024-10,0,PLT-04,EMEA,FRM-08,PRD-08,Surfactants,0.8348,0.9458,61.21,57.89,57.89,0,1002.54,85373.62,130961.81,0,45588.19,392.22588792680926
BAT-000086,2024-10,0,PLT-01,EMEA,FRM-11,PRD-11,Polymers,0.9031,0.9029,58.64,52.95,52.95,0,699.3,56122.73,83128.46,0,27005.730000000003,257.77247612551173
BAT-000087,2024-10,0,PLT-01,EMEA,FRM-04,PRD-04,Agrochem,0.845,0.9007,48.36,43.55,43.55,0,522.58,34989.82,52856.11,0,17866.29,200.94812241521913
BAT-000088,2024-10,0,PLT-03,APAC,FRM-02,PRD-02,Polymers,0.6605,0.8875,41.13,36.5,36.5,0,851.86,52547.25,70719.97,0,18172.72,425.7293508388037
BAT-000089,2024-10,0,PLT-06,APAC,FRM-11,PRD-11,Polymers,0.8212,0.925,24.04,22.24,22.24,0,699.3,23955.27,35666.4,0,11711.130000000001,297.1754575707156
BAT-000090,2024-10,0,PLT-06,APAC,FRM-01,PRD-01,Polymers,0.8449,0.9069,22.12,20.06,20.06,0,726.88,22817.36,33985.84,0,11168.479999999996,304.64622061482817
BAT-000091,2024-10,0,PLT-01,EMEA,FRM-04,PRD-04,Agrochem,0.7547,0.9291,93.66,87.02,87.02,0,522.58,72245.26,105170.27,0,32925.01000000001,248.77660901131742
BAT-000092,2024-10,0,PLT-02,AMER,FRM-06,PRD-06,Coatings,0.7981,0.9018,44.41,40.05,40.05,0,1372.28,85786.25,127473.99,0,41687.740000000005,559.4076829542898
BAT-000093,2024-10,0,PLT-05,LATAM,FRM-03,PRD-03,Solvents,0.7656,0.9913,38.39,38.06,38.06,0,530.67,29184.58,50857.94,0,21673.36,229.5430763219589
BAT-000094,2024-10,0,PLT-02,AMER,FRM-08,PRD-08,Surfactants,0.8286,0.9367,27.62,25.87,25.87,0,1002.54,39753.54,61408.27,0,21654.729999999996,436.76267921795807
BAT-000095,2024-10,0,PLT-04,EMEA,FRM-06,PRD-06,Coatings,0.9329,0.9323,39.55,36.87,36.87,0,1372.28,73356.41,127569.12,0,54212.70999999999,482.49648546144135
BAT-000096,2024-10,0,PLT-02,AMER,FRM-07,PRD-07,Catalysts,0.9065,0.8422,1.91,1.61,0.0,1,14308.0,37286.71,0.0,0,-37286.71,5213.837696335078
BAT-000097,2024-10,0,PLT-02,AMER,FRM-11,PRD-11,Polymers,0.8451,0.9389,63.47,59.59,59.59,0,699.3,61766.43,99634.67,0,37868.24,273.85944540727905
BAT-000098,2024-10,0,PLT-02,AMER,FRM-04,PRD-04,Agrochem,0.8246,0.9258,44.95,41.61,41.61,0,522.58,32627.41,49122.76,0,16495.350000000002,203.28006674082303
BAT-000099,2024-10,0,PLT-02,AMER,FRM-09,PRD-09,Specialty,0.8225,0.8454,32.5,27.48,27.48,0,1543.95,69615.7,70711.13,0,1095.4300000000076,598.0715384615385
BAT-000100,2024-10,0,PLT-03,APAC,FRM-02,PRD-02,Polymers,0.5729,0.8825,58.89,51.97,51.97,0,851.86,73406.79,102637.45,0,29230.660000000003,394.64687722873134
BAT-000101,2024-10,0,PLT-06,APAC,FRM-07,PRD-07,Catalysts,0.7829,0.8114,2.87,2.33,2.33,0,14308.0,60073.33,80054.66,0,19981.33,6623.473867595818
BAT-000102,2024-10,0,PLT-05,LATAM,FRM-04,PRD-04,Agrochem,0.7823,0.9213,52.63,48.49,48.49,0,522.58,38693.2,56265.47,0,17572.270000000004,212.61285578567345
BAT-000103,2024-10,0,PLT-06,APAC,FRM-04,PRD-04,Agrochem,0.7665,0.942,36.82,34.69,34.69,0,522.58,28075.35,41026.98,0,12951.630000000005,239.92271591526332
BAT-000104,2024-10,0,PLT-03,APAC,FRM-12,PRD-12,Solvents,0.6316,0.9361,81.38,76.18,76.18,0,584.64,69286.38,103648.29,0,34361.90999999999,266.7532170066356
BAT-000105,2024-10,0,PLT-04,EMEA,FRM-10,PRD-10,Agrochem,0.8138,0.9193,93.7,86.13,86.13,0,553.28,74628.44,104288.72,0,29660.28,243.18147278548565
BAT-000106,2024-10,0,PLT-04,EMEA,FRM-02,PRD-02,Polymers,0.8862,0.9286,67.69,62.86,62.86,0,851.86,80122.51,128904.63,0,48782.12000000001,331.80834096616934
BAT-000107,2024-10,0,PLT-04,EMEA,FRM-05,PRD-05,Coatings,0.9496,0.9181,45.88,42.13,0.0,1,1264.2,79355.5,0.0,0,-79355.5,465.43164777680886
BAT-000108,2024-10,0,PLT-06,APAC,FRM-04,PRD-04,Agrochem,0.8371,0.9443,54.69,51.64,51.64,0,522.58,39004.65,57930.57,0,18925.92,190.61528250137133
BAT-000109,2024-10,0,PLT-05,LATAM,FRM-10,PRD-10,Agrochem,0.8573,0.9348,66.04,61.73,61.73,0,553.28,52551.04,72225.34,0,19674.299999999996,242.46560872198665
BAT-000110,2024-10,0,PLT-06,APAC,FRM-05,PRD-05,Coatings,0.8041,0.9174,40.63,37.27,37.27,0,1264.2,74684.43,110691.45,0,36007.020000000004,573.9597341865613
BAT-000111,2024-10,0,PLT-01,EMEA,FRM-03,PRD-03,Solvents,0.8201,0.9922,60.08,59.62,0.0,1,530.67,45917.01,0.0,0,-45917.01,233.59448069241023
BAT-000112,2024-10,0,PLT-02,AMER,FRM-01,PRD-01,Polymers,0.8183,0.955,48.69,46.5,0.0,1,726.88,49455.13,0.0,0,-49455.13,288.83431505442593
BAT-000113,2024-10,0,PLT-06,APAC,FRM-08,PRD-08,Surfactants,0.865,0.9645,50.83,49.03,49.03,0,1002.54,71170.42,115262.13,0,44091.71000000001,397.625650206571
BAT-000114,2024-10,0,PLT-03,APAC,FRM-08,PRD-08,Surfactants,0.6471,0.8447,19.9,16.81,16.81,0,1002.54,30152.96,37430.37,0,7277.4100000000035,512.6841206030151
BAT-000115,2024-10,0,PLT-05,LATAM,FRM-02,PRD-02,Polymers,0.8155,0.9252,33.46,30.96,30.96,0,851.86,41455.43,60191.88,0,18736.449999999997,387.0948714883442
BAT-000116,2024-10,0,PLT-02,AMER,FRM-03,PRD-03,Solvents,0.8149,0.9941,95.88,95.31,95.31,0,530.67,73189.17,122999.38,0,49810.21000000001,232.67136420525662
BAT-000117,2024-10,0,PLT-01,EMEA,FRM-09,PRD-09,Specialty,0.8471,0.8523,18.22,15.53,15.53,0,1543.95,39084.24,38547.99,0,-536.25,601.1784302963777
BAT-000118,2024-10,0,PLT-02,AMER,FRM-09,PRD-09,Specialty,0.8661,0.81,62.86,50.92,0.0,1,1543.95,134274.53,0.0,0,-134274.53,592.1386096086542
BAT-000119,2024-10,0,PLT-02,AMER,FRM-08,PRD-08,Surfactants,0.838,0.9175,60.08,55.13,55.13,0,1002.54,83848.81,120520.27,0,36671.46000000001,393.07934087882836
BAT-000120,2024-10,0,PLT-05,LATAM,FRM-11,PRD-11,Polymers,0.8593,0.9857,27.63,27.23,27.23,0,699.3,26509.05,46231.3,0,19722.250000000004,260.1299674267101
BAT-000121,2024-10,0,PLT-01,EMEA,FRM-09,PRD-09,Specialty,0.885,0.7968,29.34,23.38,23.38,0,1543.95,60250.61,61981.56,0,1730.949999999997,509.581356509884
BAT-000122,2024-10,0,PLT-01,EMEA,FRM-11,PRD-11,Polymers,0.8993,0.967,32.89,31.8,31.8,0,699.3,31812.29,50916.57,0,19104.28,267.93289753724537
BAT-000123,2024-10,0,PLT-01,EMEA,FRM-03,PRD-03,Solvents,0.8863,0.9602,63.92,61.37,61.37,0,530.67,47571.17,79880.22,0,32309.050000000003,213.55981852315392
BAT-000124,2024-10,0,PLT-06,APAC,FRM-11,PRD-11,Polymers,0.8675,0.9548,25.19,24.05,24.05,0,699.3,24298.51,41116.32,0,16817.81,265.3093687971417
BAT-000125,2024-10,0,PLT-01,EMEA,FRM-10,PRD-10,Agrochem,0.8668,0.9229,76.81,70.89,70.89,0,553.28,59629.71,90195.36,0,30565.65,223.04743132404633
BAT-000126,2024-10,0,PLT-02,AMER,FRM-06,PRD-06,Coatings,0.7952,0.9567,19.99,19.13,19.13,0,1372.28,39144.75,67150.85,0,28006.100000000006,585.9366083041523
BAT-000127,2024-10,0,PLT-01,EMEA,FRM-10,PRD-10,Agrochem,0.8737,0.898,67.78,60.86,60.86,0,553.28,50918.12,71606.94,0,20688.82,197.94632044850994
BAT-000128,2024-10,0,PLT-02,AMER,FRM-02,PRD-02,Polymers,0.8639,0.8942,58.08,51.94,51.94,0,851.86,70814.87,106429.83,0,35614.96000000001,367.40429063360887
BAT-000129,2024-10,0,PLT-02,AMER,FRM-01,PRD-01,Polymers,0.8013,0.9444,51.43,48.57,48.57,0,726.88,52982.78,87801.57,0,34818.79000000001,303.31210577483955
BAT-000130,2024-10,0,PLT-02,AMER,FRM-11,PRD-11,Polymers,0.8366,0.9561,87.54,83.69,83.69,0,699.3,85676.77,144017.25,0,58340.479999999996,279.41567283527536
BAT-000131,2024-10,0,PLT-03,APAC,FRM-06,PRD-06,Coatings,0.6522,0.8903,16.08,14.32,14.32,0,1372.28,32919.62,45606.68,0,12687.059999999998,674.9600497512442
BAT-000132,2024-10,0,PLT-04,EMEA,FRM-01,PRD-01,Polymers,0.9242,0.958,34.61,33.15,33.15,0,726.88,34949.84,55372.96,0,20423.120000000003,282.9391274198208
BAT-000133,2024-10,0,PLT-05,LATAM,FRM-11,PRD-11,Polymers,0.8366,0.9644,25.8,24.88,24.88,0,699.3,25086.16,41527.46,0,16441.3,273.0317829457365
BAT-000134,2024-10,0,PLT-06,APAC,FRM-03,PRD-03,Solvents,0.8634,0.9437,75.49,71.25,71.25,0,530.67,54916.86,93957.91,0,39041.05,196.80198304411192
BAT-000135,2024-10,0,PLT-06,APAC,FRM-04,PRD-04,Agrochem,0.8295,0.928,77.37,71.8,71.8,0,522.58,58175.48,81205.21,0,23029.730000000003,229.33262763344965
BAT-000136,2024-10,0,PLT-01,EMEA,FRM-01,PRD-01,Polymers,0.8823,0.9299,24.98,23.23,23.23,0,726.88,25177.66,38523.93,0,13346.27,281.03273018414734
BAT-000137,2024-10,0,PLT-01,EMEA,FRM-06,PRD-06,Coatings,0.9054,0.9565,26.56,25.4,0.0,1,1372.28,49732.87,0.0,0,-49732.87,500.19251506024125
BAT-000138,2024-10,0,PLT-04,EMEA,FRM-12,PRD-12,Solvents,0.8411,0.9625,88.23,84.92,84.92,0,584.64,71249.86,118015.1,0,46765.240000000005,222.90686614530205
BAT-000139,2024-10,0,PLT-01,EMEA,FRM-07,PRD-07,Catalysts,0.8667,0.8756,2.85,2.49,2.49,0,14308.0,55469.73,90796.43,0,35326.69999999999,5155.063157894736
BAT-000140,2024-10,0,PLT-01,EMEA,FRM-11,PRD-11,Polymers,0.8734,0.9724,50.38,48.99,48.99,0,699.3,47686.7,80921.74,0,33235.04000000001,247.24029376736792
BAT-000141,2024-10,0,PLT-04,EMEA,FRM-01,PRD-01,Polymers,0.9268,0.9049,70.76,64.03,64.03,0,726.88,69189.67,106515.55,0,37325.880000000005,250.92765969474272
BAT-000142,2024-10,0,PLT-06,APAC,FRM-10,PRD-10,Agrochem,0.7909,0.865,75.11,64.97,64.97,0,553.28,57999.5,76823.21,0,18823.710000000006,218.91411529756363
